timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud,pue,wue
2026-07-01T03:52:19,qwen_inference,5a805b92-9800-49b7-add9-edd3b0e5ac0a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.737626872000078,2.367307570270095e-05,6.33371829597132e-06,1.6869070000000006,61.29115240204106,20.0,1.512024466152422e-06,6.348532856599934e-05,1.7919514700000467e-05,8.291686773215224e-05,0.0,United States,USA,south carolina,,,Linux-6.12.90+-x86_64-with-glibc2.35,3.12.13,3.2.8,4,Intel(R) Xeon(R) CPU @ 2.00GHz,2,2 x Tesla T4,-79.9746,32.8608,31.347732543945312,machine,0.0,15.0,9.8,2.588958740234375,N,1.0,0.0
2026-07-01T03:52:26,qwen_inference,be00f900-fb8d-4af4-9a67-bb07545f7aa0,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.6713019339999846,2.300665411823496e-05,6.266619997982179e-06,1.6824739792,60.50425975761937,20.0,1.4771291988907177e-06,6.155310479799992e-05,1.7552438083333123e-05,8.058267208022376e-05,0.0,United States,USA,south carolina,,,Linux-6.12.90+-x86_64-with-glibc2.35,3.12.13,3.2.8,4,Intel(R) Xeon(R) CPU @ 2.00GHz,2,2 x Tesla T4,-79.9746,32.8608,31.347732543945312,machine,0.0,11.0,9.8,2.58987808227539,N,1.0,0.0
2026-07-01T03:52:33,qwen_inference,332be859-1450-4f42-8bc6-ed24ee262956,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.765463069000021,2.38119311966492e-05,6.323772338304422e-06,1.697925376,61.10819544929835,20.0,1.535637139375182e-06,6.378532880600002e-05,1.808225441666688e-05,8.340322036204208e-05,0.0,United States,USA,south carolina,,,Linux-6.12.90+-x86_64-with-glibc2.35,3.12.13,3.2.8,4,Intel(R) Xeon(R) CPU @ 2.00GHz,2,2 x Tesla T4,-79.9746,32.8608,31.347732543945312,machine,0.0,11.0,9.8,2.596099853515625,N,1.0,0.0
2026-07-01T03:52:40,qwen_inference,3ebaf6aa-cf8b-4acd-b3ac-40333e16157f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.691051927999979,2.378015210166893e-05,6.442649024055959e-06,1.6785040000000002,62.69403182341196,20.0,1.4833081812138262e-06,6.414005131200008e-05,1.7668552011110708e-05,8.329191150432461e-05,0.0,United States,USA,south carolina,,,Linux-6.12.90+-x86_64-with-glibc2.35,3.12.13,3.2.8,4,Intel(R) Xeon(R) CPU @ 2.00GHz,2,2 x Tesla T4,-79.9746,32.8608,31.347732543945312,machine,0.0,11.0,9.8,2.598766326904297,N,1.0,0.0
2026-07-01T03:52:47,qwen_inference,6a6ec45c-0a56-4fba-9d8d-db67870bf943,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.682816244000037,2.365221794576193e-05,6.422318241996354e-06,1.6878688000000002,62.42611619168306,20.0,1.4880865982912257e-06,6.373421765399961e-05,1.7621507494444837e-05,8.284381174673567e-05,0.0,United States,USA,south carolina,,,Linux-6.12.90+-x86_64-with-glibc2.35,3.12.13,3.2.8,4,Intel(R) Xeon(R) CPU @ 2.00GHz,2,2 x Tesla T4,-79.9746,32.8608,31.347732543945312,machine,0.0,11.0,9.8,2.604930877685547,N,1.0,0.0
2026-07-01T03:52:54,qwen_inference,0ac672e7-002a-4291-b3da-d69d230f5030,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.722627784999986,2.4143928679098024e-05,6.485721934485082e-06,1.7332575808,63.16769640912725,20.0,1.5469698663002062e-06,6.51808854779997e-05,1.7838213127777814e-05,8.456606847207773e-05,0.0,United States,USA,south carolina,,,Linux-6.12.90+-x86_64-with-glibc2.35,3.12.13,3.2.8,4,Intel(R) Xeon(R) CPU @ 2.00GHz,2,2 x Tesla T4,-79.9746,32.8608,31.347732543945312,machine,50.0,11.25,9.8,2.605785369873047,N,1.0,0.0
2026-07-01T03:53:00,qwen_inference,fe360bf0-f831-402e-a980-e3b4ecd852f1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.6538865979999855,2.337176149961648e-05,6.396411293226612e-06,1.6801551376,62.126184486121936,20.0,1.467653286314765e-06,6.292977256600052e-05,1.7464064444444224e-05,8.186149029675951e-05,0.0,United States,USA,south carolina,,,Linux-6.12.90+-x86_64-with-glibc2.35,3.12.13,3.2.8,4,Intel(R) Xeon(R) CPU @ 2.00GHz,2,2 x Tesla T4,-79.9746,32.8608,31.347732543945312,machine,0.0,11.25,9.8,2.6054840087890625,N,1.0,0.0
2026-07-01T03:53:07,qwen_inference,cdfc3c81-98cd-4c8e-bb60-766aeb2366ff,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.655082329000038,2.349769099678992e-05,6.428772017077505e-06,1.6766512000000002,62.59134772506755,20.0,1.4640162083167317e-06,6.338143959400046e-05,1.7457112772222495e-05,8.230256857453969e-05,0.0,United States,USA,south carolina,,,Linux-6.12.90+-x86_64-with-glibc2.35,3.12.13,3.2.8,4,Intel(R) Xeon(R) CPU @ 2.00GHz,2,2 x Tesla T4,-79.9746,32.8608,31.347732543945312,machine,50.0,11.25,9.8,2.6107616424560547,N,1.0,0.0
2026-07-01T03:53:14,qwen_inference,6916dd64-f597-4aeb-bfed-b7e863a362ef,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.732324785999936,2.46271372165144e-05,6.598337129954912e-06,1.6861600288,64.61026453747766,20.0,1.509670481056901e-06,6.685005347999975e-05,1.7898821605555465e-05,8.625854556661212e-05,0.0,United States,USA,south carolina,,,Linux-6.12.90+-x86_64-with-glibc2.35,3.12.13,3.2.8,4,Intel(R) Xeon(R) CPU @ 2.00GHz,2,2 x Tesla T4,-79.9746,32.8608,31.347732543945312,machine,0.0,11.25,9.8,2.603553771972656,N,1.0,0.0
2026-07-01T03:53:21,qwen_inference,51d356d1-b733-4d04-89bc-b5534a03053a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.673834252000006,2.360576905065352e-05,6.425376713117291e-06,1.6780268896,62.490377676718616,20.0,1.474838810003901e-06,6.363588424200019e-05,1.7570397672222446e-05,8.268112072422653e-05,0.0,United States,USA,south carolina,,,Linux-6.12.90+-x86_64-with-glibc2.35,3.12.13,3.2.8,4,Intel(R) Xeon(R) CPU @ 2.00GHz,2,2 x Tesla T4,-79.9746,32.8608,31.347732543945312,machine,0.0,11.0,9.8,2.603588104248047,N,1.0,0.0
